Organização,Deployment,accounts v2.0,business v2.0,consents v2.0,consents v2.1,credit-card v2.0,financings v2.0,invoice-financings v2.0,loans v2.0,personal v2.0,resources v2.0,resources v2.1,unarranged-overdraft v2.0
BANCO DIGIO S.A.,Digio-Uber---Consents-v2.0.1,,,[12-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/27098060_Digio-Uber---Consents-v2.0.1_consents_v2_12-09-2023.json),,,,,,,,,
BANCO BTG PACTUAL S.A.,Banco BTG Pactual Open Banking v2.0-MAIS,,,[19-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/30306294_Banco%20BTG%20Pactual%20Open%20Banking%20v2.0-MAIS_consents_v2-OL_19-09-2022.zip),,,,,,,,,
QI SOCIEDADE DE CRÉDITO DIRETO S.A.,Consents-v2,,,[06-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/32402502_Consents-v2_consents_v2_06-09-2023.json),,,,,,,,,
Banco Losango SA Banco Multiplo,Banco Losango - Open Finance Brazil v2.0,,,[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/33254319_Banco%20Losango%20-%20Open%20Finance%20Brazil%20v2.0_consents_v2-OL_07-10-2022.zip),,[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/credit-card/2.0.1/33254319_Banco%20Losango%20-%20Open%20Finance%20Brazil%20v2.0_credit-card_v2-OL_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/financings/2.0.1/33254319_Banco%20Losango%20-%20Open%20Finance%20Brazil%20v2.0_financings_v2-OL_04-10-2022.zip),,[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/33254319_Banco%20Losango%20-%20Open%20Finance%20Brazil%20v2.0_loans_v2-OL_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/33254319_Banco%20Losango%20-%20Open%20Finance%20Brazil%20v2.0_personal_v2-OL_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/33254319_Banco%20Losango%20-%20Open%20Finance%20Brazil%20v2.0_resources_v2-OL_04-10-2022.zip),,
GERU SOCIEDADE DE CREDITO DIRETO SA,Geru Open Finance v2,,,[26-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/37763847_Geru%20Open%20Finance%20v2_consents_v2-OL_26-09-2022.zip),,,,,[26-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/loans/2.0.1/37763847_Geru%20Open%20Finance%20v2_loans_v2-OL_26-09-2022.zip),[27-09-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/37763847_Geru%20Open%20Finance%20v2_personal_v2-OL_27-09-2022.zip),[03-10-2022](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/37763847_Geru%20Open%20Finance%20v2_resources_v2-OL_03-10-2022.zip),,
Belvo Instituicao de Pagamento Ltda.,Belvo-Open-Finance-v1.0,,,[02-08-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.0.1/43215815_Belvo-Open-Finance-v1.0_consents_v2_02-08-2023.json),[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/43215815_Belvo-Open-Finance-v1.0_consents_v2.1_03-10-2023.json),,,,,[02-08-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/personal/2.0.1/43215815_Belvo-Open-Finance-v1.0_personal_v2_02-08-2023.json),[02-08-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.0.1/43215815_Belvo-Open-Finance-v1.0_resources_v2_02-08-2023.json),[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/43215815_Belvo-Open-Finance-v1.0_resources_v2.1_03-10-2023.json),
BANCO DO BRASIL S.A.,APIs-4B-v1,,,,[22-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/00000000_APIs-4B-v1_consents_v2.1_22-09-2023.json),,,,,,,[22-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/00000000_APIs-4B-v1_resources_v2.1_22-09-2023.json),
CAIXA ECONOMICA FEDERAL,Caixa-Econômica-Federal,,,,[20-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/00360305_Caixa-Econômica-Federal_consents_v2.1_20-09-2023.json),,,,,,,[20-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/00360305_Caixa-Econômica-Federal_resources_v2.1_20-09-2023.json),
BANCO COOPERATIVO SICREDI S.A.,v1.0.1,,,,[27-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/01181521_v1.0.1_consents_v2.1_27-09-2023.json),,,,,,,,
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,Fase-4B-v1.0.0-rc1.0.,,,,[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/02038232_Fase-4B-v1.0.0-rc1.0._consents_v2.1_26-09-2023.json),,,,,,,,
BANCO DO NORDESTE DO BRASIL S.A.,2.0.1,,,,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/07237373_2.0.1_consents_v2.1_28-09-2023.json),,,,,,,,
MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA,Mercado-Pago-Open-Banking-v2.0,,,,[19-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/10573521_Mercado-Pago-Open-Banking-v2.0_consents_v2.1_19-09-2023.json),,,,,,,,
,example,,,,[16-08-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/12345678_example_consents_v2.1_16-08-2023.json),,,,,,,[16-08-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/12345678_example_resources_v2.1_16-08-2023.json),
