Organização,Deployment,payments
BANCO DO ESTADO DE SERGIPE S.A.,BANESE OpenBanking v2.0,[01-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/13009717_BANESE%20OpenBanking%20v2.0_payments_v2_01-02-2023.json)
ACESSO SOLUÇÕES DE PAGAMENTO S.A.,Bankly – Open Bankly 2.0.0,[01-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/13140088_Bankly%20–%20Open%20Bankly%202.0.0_payments_v2_01-02-2023.json)
Fitbank Pagamentos Eletronicos S.A.,Fitbank Open Banking 1.0.0,[29-03-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/13203354_Fitbank%20Open%20Banking%201.0.0_payments_v2_29-03-2023.json)
BPP INSTITUIÇÃO DE PAGAMENTO S.A.,JANUARY-2023,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/13370835_JANUARY-2023_payments_v2_31-01-2023.json)
HUB PAGAMENTOS S.A,Hub Authorization Server v2.0.0,[14-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/13884775_Hub%20Authorization%20Server%20v2.0.0_payments_v2_14-02-2023.json)
CELCOIN INSTITUICAO DE PAGAMENTO S.A.,Celcoin - Open Banking Brasil v2.0,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/13935893_Celcoin%20-%20Open%20Banking%20Brasil%20v2.0_payments_v2_31-01-2023.json)
PARANÁ BANCO S.A.," 2.0.0",[16-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/14388334_%202.0.0_payments_v2_16-02-2023.json)
IUGU INSTITUICAO DE PAGAMENTO S.A.,Iugu-Lina-OPFI-v.1.0.0,[07-03-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/15111975_Iugu-Lina-OPFI-v.1.0.0_payments_v2_07-03-2023.json)
BANCO WOORI BANK DO BRASIL S.A.,Pre Produção,[13-03-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/15357060_Pre%20Produção_payments_v2_13-03-2023.json)
BANCO WOORI BANK DO BRASIL S.A.,Produção,[16-03-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/15357060_Produção_payments_v2_16-03-2023.json)
STONE PAGAMENTOS S.A.,open-finance-dispatcher v0.35.3,[30-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/16501555_open-finance-dispatcher%20v0.35.3_payments_v2_30-01-2023.json)
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO VALE DO ITAJAÍ - VIACREDI ALTO VALE,Central Ailos Open FInance 1.0.0,[14-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/16779741_Central%20Ailos%20Open%20FInance%201.0.0_payments_v2_14-02-2023.json)
BANCO MERCANTIL DO BRASIL S.A.," 2.0.0",[02-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/17184037_%202.0.0_payments_v2_02-02-2023.json)
BANCO ITAUCARD S.A.,Open Banking Brazil Payments v2.0.0,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/17192451_Open%20Banking%20Brazil%20Payments%20v2.0.0_payments_v2_31-01-2023.json)
BANCO TRIANGULO S.A.,API de Pagamentos v2.0.0,[10-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/17351180_API%20de%20Pagamentos%20v2.0.0_payments_v2_10-02-2023.json)
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,Nu Open Banking 1.0.0,[30-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/18236120_Nu%20Open%20Banking%201.0.0_payments_v2_30-01-2023.json)
ASAAS GESTAO FINANCEIRA INSTITUICAO DE PAGAMENTO S.A.,Asaas Open Finance 2.0.0,[03-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/19540550_Asaas%20Open%20Finance%202.0.0_payments_v2_03-02-2023.json)
ADIQ SOLUCOES DE PAGAMENTO S.A.,Payments API V2 - INIC-DICT-MANU-QRES-QRDN - 5.0.8,[08-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/20520298_Payments%20API%20V2%20-%20INIC-DICT-MANU-QRES-QRDN%20-%205.0.8_payments_v2_08-02-2023.json)
Neon Pagamentos S.A.,Open Finance - Payments v2.0.0,[18-04-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/20855875_Open%20Finance%20-%20Payments%20v2.0.0_payments_v2_18-04-2023.json)
Neon Pagamentos S.A.,Payments API V2 - INIC-DICT-MANU-QRES-QRDN,[29-03-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/20855875_Payments%20API%20V2%20-%20INIC-DICT-MANU-QRES-QRDN_payments_v2_29-03-2023.json)
Ebanx Instituicao de Pagamento Ltda.,Ebanx January 2023,[30-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/21018182_Ebanx%20January%202023_payments_v2_30-01-2023.json)
CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.,Crystal OFB v2.0.0,[13-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/21332862_Crystal%20OFB%20v2.0.0_payments_v2_13-02-2023.json)
PICPAY SERVICOS S.A.,PicPay Open Banking 2.0.0,[01-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/22896431_PicPay%20Open%20Banking%202.0.0_payments_v2_01-02-2023.json)
BANCO DIGIO S.A.,Digio - Open Banking - Fase 3 - V2,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/27098060_Digio%20-%20Open%20Banking%20-%20Fase%203%20-%20V2_payments_v2_31-01-2023.json)
BANCO DIGIO S.A.,Digio Uber - Open Banking - Fase 3 - V2,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/27098060_Digio%20Uber%20-%20Open%20Banking%20-%20Fase%203%20-%20V2_payments_v2_31-01-2023.json)
