Organisation,Deployment,Payments
Banco Agibank S.A.,Agibank 1.0.0,[11 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Banco-Agibank-Open_Banking_Brasil-API-PAYMENTS-11-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=cMrnSVKa9lT0p) PASS
Banco Votorantim S.A.,BV-OpenBanking-1.0.0,[19 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/BV_Payments_api_phase_1_test-mtls-by_value-plain_response-6emlaZLqOdUn8-19-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=6emlaZLqOdUn8) PASS
Sicoob,Sicoob Open Finance v1,[18 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Sicoob-Sicoob_Open_Finance-API-Payments-18-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=qt7OHFv5pShvS) PASS
CREDITAS SOCIEDADE DE CRÉDITO DIRETO S/A,Creditas SCD – Open Banking Brazil V1.0,[23 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/CreditasPayments_api_phase_1_test-private_key_jwt-by_value-plain_response-O1DqekRJt660b-23-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=O1DqekRJt660b)   PASS
BANCO KEB HANA DO BRASIL SA,BANCO KEB HANA 1.0.1,[23 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/bancoKebPayments_api_phase_1_test-mtls-by_value-plain_response-j3re3WQ0gvktV-23-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=j3re3WQ0gvktV)   PASS
SumUp Sociedade de Crédito Direito S.A,SumUp Authorization Server 1.0,[16 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/SumUP-Payments-API-test-mtls-pushed-jarm-23-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=lQi2336FIZiGA) PASS
BANCO ALFA S.A.,Banco Alfa – Open Banking Brazil V1.0,[23 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Payments_api_phase_1_test-private_key_jwt-by_value-plain_response-wE5uslJ5rjKlI-23-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=wE5uslJ5rjKlI) PASS
Banco do Estado de Sergipe S.A.,BANESE OpenBanking v1.0,[30 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/BANESE-BANESE_Openbanking_v1-API-Payments-mtls-by_value-plain_response-30-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=jbeJdRk5SyRGm) PASS
BANCO WOORi BANK do bRasil S.A,Banco Woori Bank Brasil - Open Banking V1.0,[30 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/banco_woori_bank_do_brasil-Payments_api_phase_1_test-mtls-by_value-plain_response-iw0CCM4rNPIBz-30-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=iw0CCM4rNPIBz)   PASS
Banco PAN S.A.,Banco PAN Open Banking v1.0,[30 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/BancoPanPayments_api_phase_1_test-private_key_jwt-pushed-plain_response-zI3PXZASe6WXy-30-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=zI3PXZASe6WXy)   PASS
BANCO DAYCOVAL S.A.,Banco Daycoval - Open Banking Brazil V1.0,[22 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Payments_api_phase_1_test-private_key_jwt-by_value-plain_response-b04ET5MWNjprv-22-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=b04ET5MWNjprv) PASS
Banco Sofisa,Banco Sofisa 23/11/2021,[23 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/BancoSofisa-BancoSofisa23112021-API-PAYMENTS-private_key_jwt-23-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=idNDs9izMXiO5) PASS
